"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","wine_type","Year1"
"226","Malbec 2017","Argentina","Mendoza","Catena",4.1,10676,13.5,"tinto","2017"
"227","Saint-Estèphe (Grand Cru Classé) 2009","France","Saint-Estèphe","Château Lafon-Rochet",4.2,1069,75.98,"tinto","2009"
"228","Amarone della Valpolicella Classico 2014","Italy","Amarone della Valpolicella Classico","Bolla",4.1,1069,28.99,"tinto","2014"
"229","Margaux (Grand Cru Classé) 2017","France","Margaux","Château Lascombes",4,107,86.76,"tinto","2017"
"230","Pauillac (Grand Cru Classé) 2017","France","Pauillac","Château d'Armailhac",3.9,107,52.64,"tinto","2017"
"231","Figure Libre Freestyle Rouge 2018","France","Pays d'Oc","Gayda",3.7,107,11.45,"tinto","2018"
"232","Pinot Noir 2018","France","Pays d'Oc","La Forge Estate",3.6,107,7.27,"tinto","2018"
"233","Tinto 2018","Spain","Alicante","Vergel",3.6,107,7.35,"tinto","2018"
"234","Les Coteaux Cabernet Sauvignon 2015","South Africa","Wellington","Mont du Toit",3.8,107,11.5,"tinto","2015"
"235","Mayro Montepulciano d'Abruzzo 2015","Italy","Montepulciano d'Abruzzo","Fosso Corno",3.7,107,7.75,"tinto","2015"
"236","Barbera d'Alba 2018","Italy","Barbera d'Alba","Comm. G.B. Burlotto",3.9,107,17,"tinto","2018"
"237","Blauer Spätburgunder 2015","Germany","Baden","Ziereisen",3.7,107,11.31,"tinto","2015"
"238","Tempranillo - Merlot 2015","Spain","Ribera del Duero","Rolland & Galarreta 'R&G'",3.7,107,13.95,"tinto","2015"
